103.102.4.0/24,US,US-CA,,
103.102.5.0/24,US,US-CA,,
103.102.7.0/24,US,US-CA,,
103.116.75.0/24,US,US-CA,,
124.108.22.0/23,US,US-CA,,
185.255.153.0/24,US,US-CA,,
198.176.48.0/22,US,US-CA,,
198.176.52.0/23,US,US-CA,,
198.176.56.0/24,US,US-CA,,

124.108.20.0/24,US,US-WA,,
154.39.71.0/24,US,US-WA,,

38.6.230.0/24,HK,,,
103.116.72.0/24,HK,,,
103.116.73.0/24,HK,,,
103.175.14.0/24,HK,,,
103.175.15.0/24,HK,,,
124.108.21.0/24,HK,,,
161.129.43.0/24,HK,,,
182.255.32.0/24,HK,,,
182.255.33.0/24,HK,,,
182.255.35.0/24,HK,,,
199.15.76.0/22,HK,,,
103.200.112.0/23,HK,,,
45.114.40.0/22,HK,,,
103.5.54.0/23,HK,,,
50.114.59.0/24,HK,,,
198.176.55.0/24,HK,,,
2a0f:7802:f000::/44,HK,,,
2401:d9c0:2000::/36,HK,,,
2001:df7:e580::/48,HK,,,

103.169.216.0/24,JP,JP-13,,
103.169.217.0/24,JP,JP-13,,
185.188.5.0/24,JP,JP-13,,

112.169.175.0/24,KR,,,

182.255.34.0/24,SG,,,

